S_d, S_n, Mask Mean FA, AUC, Theta Mask Mean, Theta Mask Std, Phi Mask Mean, Phi Mask Std, npeaks, Mask Fraction
6.666667, 0.833333, 0.903949, 0.613857, 1.5296648740768433, 0.5545188188552856, 2.7172875404357910, 2.3712859153747559,3.00, 0.2608524590163934
6.666667, 1.666667, 0.860001, 0.698133, 1.5330288410186768, 0.4145126044750214, 2.8918199539184570, 2.7166409492492676,3.00, 0.2608524590163934
6.666667, 2.500000, 0.818256, 0.734679, 1.5423033237457275, 0.3528432548046112, 2.9639482498168945, 2.8197903633117676,1.00, 0.2608524590163934
6.666667, 3.333333, 0.770859, 0.749357, 1.5507934093475342, 0.2978659570217133, 2.9967350959777832, 2.8761558532714844,1.00, 0.2608524590163934
6.666667, 4.166667, 0.719585, 0.750742, 1.5557901859283447, 0.2432366162538528, 3.0429515838623047, 2.9169561862945557,1.00, 0.2608524590163934
6.666667, 5.000000, 0.669357, 0.747484, 1.5585839748382568, 0.1941431164741516, 3.1002347469329834, 2.9406831264495850,1.00, 0.2608524590163934
6.666667, 5.833333, 0.623893, 0.744687, 1.5557739734649658, 0.1632131487131119, 3.1371042728424072, 2.9471919536590576,1.00, 0.2608524590163934
6.666667, 6.666667, 0.584528, 0.743372, 1.5530203580856323, 0.1444294750690460, 3.1716032028198242, 2.9445190429687500,1.00, 0.2608524590163934
6.666667, 7.500000, 0.550955, 0.741722, 1.5503779649734497, 0.1315621733665466, 3.2153255939483643, 2.9348926544189453,1.00, 0.2608524590163934
6.666667, 8.333333, 0.522118, 0.737595, 1.5477609634399414, 0.1234311088919640, 3.2330141067504883, 2.9213874340057373,1.00, 0.2608524590163934
6.666667, 9.166667, 0.496973, 0.729782, 1.5463767051696777, 0.1181351915001869, 3.2253565788269043, 2.9063842296600342,1.00, 0.2608524590163934
6.666667, 10.000000, 0.474774, 0.717790, 1.5437120199203491, 0.1151918098330498, 3.2440547943115234, 2.8944451808929443,1.00, 0.2608524590163934
6.666667, 10.833333, 0.455025, 0.701660, 1.5412676334381104, 0.1142764985561371, 3.2490768432617188, 2.8810231685638428,1.00, 0.2608524590163934
6.666667, 11.666667, 0.437432, 0.682034, 1.5396190881729126, 0.1152359023690224, 3.2494230270385742, 2.8621876239776611,1.00, 0.2608524590163934
6.666667, 12.500000, 0.421816, 0.659942, 1.5388548374176025, 0.1178136318922043, 3.2553944587707520, 2.8412513732910156,1.00, 0.2608524590163934
6.666667, 13.333333, 0.408035, 0.636584, 1.5396656990051270, 0.1215814277529716, 3.2597360610961914, 2.8134362697601318,1.00, 0.2608524590163934
6.666667, 14.166667, 0.395952, 0.613076, 1.5401916503906250, 0.1258037984371185, 3.2721216678619385, 2.7897770404815674,1.00, 0.2608524590163934
6.666667, 15.000000, 0.385442, 0.590427, 1.5393480062484741, 0.1301278173923492, 3.2992365360260010, 2.7724995613098145,1.00, 0.2608524590163934
6.666667, 15.833333, 0.376353, 0.569410, 1.5345513820648193, 0.1337718218564987, 3.3290190696716309, 2.7828974723815918,1.00, 0.2608524590163934
6.666667, 16.666667, 0.368520, 0.550523, 1.5299593210220337, 0.1376210600137711, 3.3419415950775146, 2.7863070964813232,1.00, 0.2608524590163934
7.500000, 0.833333, 0.909987, 0.614867, 1.5228108167648315, 0.5531652569770813, 2.7384788990020752, 2.3953135013580322,3.00, 0.2608524590163934
7.500000, 1.666667, 0.865126, 0.691930, 1.5240819454193115, 0.4225340783596039, 2.8938994407653809, 2.7196161746978760,3.00, 0.2608524590163934
7.500000, 2.500000, 0.821602, 0.722248, 1.5339767932891846, 0.3636941015720367, 2.9566071033477783, 2.8125212192535400,1.00, 0.2608524590163934
7.500000, 3.333333, 0.773415, 0.732274, 1.5445032119750977, 0.3092209100723267, 2.9907307624816895, 2.8681766986846924,1.00, 0.2608524590163934
7.500000, 4.166667, 0.722774, 0.731620, 1.5518790483474731, 0.2561319768428802, 3.0196394920349121, 2.9062993526458740,1.00, 0.2608524590163934
7.500000, 5.000000, 0.674203, 0.728176, 1.5571421384811401, 0.2082594633102417, 3.0567698478698730, 2.9282915592193604,1.00, 0.2608524590163934
7.500000, 5.833333, 0.630693, 0.725707, 1.5567847490310669, 0.1771676838397980, 3.0812928676605225, 2.9340167045593262,1.00, 0.2608524590163934
7.500000, 6.666667, 0.593059, 0.724224, 1.5545511245727539, 0.1584409028291702, 3.1061668395996094, 2.9323422908782959,1.00, 0.2608524590163934
7.500000, 7.500000, 0.560827, 0.722051, 1.5527451038360596, 0.1457211077213287, 3.1442461013793945, 2.9256422519683838,1.00, 0.2608524590163934
7.500000, 8.333333, 0.532991, 0.717318, 1.5507993698120117, 0.1372909545898438, 3.1582045555114746, 2.9153568744659424,1.00, 0.2608524590163934
7.500000, 9.166667, 0.508611, 0.708992, 1.5492795705795288, 0.1316678076982498, 3.1576406955718994, 2.9025263786315918,1.00, 0.2608524590163934
7.500000, 10.000000, 0.487032, 0.696688, 1.5467813014984131, 0.1287432312965393, 3.1683986186981201, 2.8949363231658936,1.00, 0.2608524590163934
7.500000, 10.833333, 0.467817, 0.680628, 1.5445532798767090, 0.1274547278881073, 3.1714076995849609, 2.8870239257812500,1.00, 0.2608524590163934
7.500000, 11.666667, 0.450703, 0.661577, 1.5434801578521729, 0.1278223246335983, 3.1683187484741211, 2.8758101463317871,1.00, 0.2608524590163934
7.500000, 12.500000, 0.435529, 0.640565, 1.5431505441665649, 0.1294103860855103, 3.1667184829711914, 2.8610382080078125,1.00, 0.2608524590163934
7.500000, 13.333333, 0.422157, 0.618698, 1.5433052778244019, 0.1319344937801361, 3.1623346805572510, 2.8405659198760986,1.00, 0.2608524590163934
